Optimization,Variant,Nrow,Mcol,elapsed_s,FLOPs,TFLOP/s,GB/s,AI
,Separate Storage,10,10,0.0,200,inf,inf,0.20833333
O2,Separate Storage,10,10,0.0,200,inf,inf,0.20833333
O3,Contiguous Storage with Manual Unroll,10,10,0.0,200,inf,inf,0.20833333
,Separate Storage with GCC Pragma Unroll,10,10,0.0,200,inf,inf,0.20833333
O3,Contiguous Storage,10,10,0.0,200,inf,inf,0.20833333
O3,Separate Storage with GCC Pragma Unroll,10,10,0.0,200,inf,inf,0.20833333
O3,Separate Storage,10,10,0.0,200,inf,inf,0.20833333
O2,Separate Storage with GCC Pragma Unroll,10,10,0.0,200,inf,inf,0.20833333
,Contiguous Storage,10,10,3.2e-07,200,0.00062915,3.01989888,0.20833333
O2,Contiguous Storage with GCC Pragma Unroll,10,10,3.2e-07,200,0.00062915,3.01989888,0.20833333
O2,Contiguous Storage with Manual Unroll,10,10,3.2e-07,200,0.00062915,3.01989888,0.20833333
O2,Contiguous Storage,10,10,3.2e-07,200,0.00062915,3.01989888,0.20833333
,Contiguous Storage with Manual Unroll,10,10,3.2e-07,200,0.00062915,3.01989888,0.20833333
O3,Contiguous Storage with GCC Pragma Unroll,10,10,3.2e-07,200,0.00062915,3.01989888,0.20833333
,Contiguous Storage with GCC Pragma Unroll,10,10,4e-07,200,0.00050332,2.4159191,0.20833333
O2,Separate Storage with GCC Pragma Unroll,100,100,2.62e-06,20000,0.00762601,31.11410967,0.24509804
O2,Contiguous Storage with Manual Unroll,100,100,3.97e-06,20000,0.00503316,20.53531238,0.24509804
O3,Separate Storage with GCC Pragma Unroll,100,100,4.29e-06,20000,0.00466034,19.01417813,0.24509804
O3,Separate Storage,100,100,4.37e-06,20000,0.0045756,18.6684658,0.24509804
O2,Separate Storage,100,100,5.01e-06,20000,0.00399458,16.29786697,0.24509804
O2,Contiguous Storage,100,100,5.64e-06,20000,0.00354448,14.46148759,0.24509804
O3,Contiguous Storage,100,100,5.72e-06,20000,0.00349525,14.2606336,0.24509804
O3,Contiguous Storage with GCC Pragma Unroll,100,100,7.71e-06,20000,0.00259441,10.58521257,0.24509804
O2,Contiguous Storage with GCC Pragma Unroll,100,100,9.38e-06,20000,0.0021327,8.70140355,0.24509804
O3,Contiguous Storage with Manual Unroll,100,100,1.097e-05,20000,0.00182361,7.44033057,0.24509804
,Contiguous Storage,100,100,1.129e-05,20000,0.00177224,7.2307438,0.24509804
,Separate Storage with GCC Pragma Unroll,100,100,1.2e-05,20000,0.00166661,6.79977231,0.24509804
,Contiguous Storage with Manual Unroll,100,100,1.232e-05,20000,0.0016236,6.62429432,0.24509804
,Separate Storage,100,100,1.502e-05,20000,0.00133153,5.43262232,0.24509804
,Contiguous Storage with GCC Pragma Unroll,100,100,1.566e-05,20000,0.00127745,5.21200822,0.24509804
O2,Contiguous Storage,1000,1000,0.00069634,2000000,0.00287216,11.5115981,0.249501
O2,Separate Storage,1000,1000,0.0007093,2000000,0.0028197,11.30135827,0.249501
O3,Separate Storage,1000,1000,0.00074339,2000000,0.00269038,10.7830471,0.249501
,Contiguous Storage,1000,1000,0.00078837,2000000,0.00253688,10.1678047,0.249501
O3,Contiguous Storage,1000,1000,0.00079703,2000000,0.00250931,10.0572961,0.249501
O2,Separate Storage with GCC Pragma Unroll,1000,1000,0.00098832,2000000,0.00202363,8.11069657,0.249501
O2,Contiguous Storage with Manual Unroll,1000,1000,0.00101797,2000000,0.0019647,7.87451187,0.249501
O3,Separate Storage with GCC Pragma Unroll,1000,1000,0.00104698,2000000,0.00191026,7.65633996,0.249501
,Separate Storage with GCC Pragma Unroll,1000,1000,0.00114695,2000000,0.00174375,6.98895667,0.249501
O2,Contiguous Storage with GCC Pragma Unroll,1000,1000,0.00121069,2000000,0.00165195,6.62102026,0.249501
,Contiguous Storage with Manual Unroll,1000,1000,0.00123167,2000000,0.00162381,6.50823478,0.249501
O3,Contiguous Storage with GCC Pragma Unroll,1000,1000,0.001261,2000000,0.00158605,6.35688048,0.249501
O3,Contiguous Storage with Manual Unroll,1000,1000,0.00143536,2000000,0.00139338,5.58466434,0.249501
,Separate Storage,1000,1000,0.00145435,2000000,0.00137518,5.51172801,0.249501
,Contiguous Storage with GCC Pragma Unroll,1000,1000,0.00147502,2000000,0.00135592,5.4345163,0.249501
O2,Contiguous Storage with Manual Unroll,10000,10000,0.07130035,200000000,0.00280504,11.22238567,0.24995001
O3,Contiguous Storage with Manual Unroll,10000,10000,0.07145468,200000000,0.00279898,11.19814624,0.24995001
O2,Separate Storage with GCC Pragma Unroll,10000,10000,0.07181795,200000000,0.00278482,11.14150364,0.24995001
O3,Separate Storage with GCC Pragma Unroll,10000,10000,0.07227627,200000000,0.00276716,11.07085288,0.24995001
O2,Contiguous Storage with GCC Pragma Unroll,10000,10000,0.07755129,200000000,0.00257894,10.31781737,0.24995001
O3,Contiguous Storage with GCC Pragma Unroll,10000,10000,0.07755129,200000000,0.00257894,10.31781737,0.24995001
O3,Contiguous Storage,10000,10000,0.07808868,200000000,0.00256119,10.24681158,0.24995001
O2,Separate Storage,10000,10000,0.07843534,200000000,0.00254987,10.20152376,0.24995001
O3,Separate Storage,10000,10000,0.08073862,200000000,0.00247713,9.91049836,0.24995001
O2,Contiguous Storage,10000,10000,0.08135899,200000000,0.00245824,9.83493046,0.24995001
,Contiguous Storage,10000,10000,0.08565164,200000000,0.00233504,9.3420282,0.24995001
,Contiguous Storage with GCC Pragma Unroll,10000,10000,0.08799497,200000000,0.00227286,9.09324674,0.24995001
,Contiguous Storage with Manual Unroll,10000,10000,0.11405802,200000000,0.00175349,7.01537705,0.24995001
,Separate Storage with GCC Pragma Unroll,10000,10000,0.13738672,200000000,0.00145574,5.82414373,0.24995001
,Separate Storage,10000,10000,0.14117233,200000000,0.00141671,5.66796625,0.24995001
